modp,Result,Prime,Error for Prime Chosen,Name,Secret Key,Public Key,Shared Secret
modp1,true,ffffffffffffffffc90fdaa22168c234c4c6628b80dc1cd129024e088a67cc74020bbea63b139b22514a08798e3404ddef9519b3cd3a431b302b0a6df25f14374fe1356d6d51c245e485b576625e7ec6f44c42e9a63a3620ffffffffffffffff,8,Bob,e8aff48eb657e69c984e4eaeb599486b4a2f39e225f464cdfe56709fa85b3255a0455df82495f660b7083473d96c54693dca76ba731c60d837f1b21962cf2a12d1eede053dec72b707d1b8256b70587294b5eae05970c5a0b80a4e567a1312b5,094f59e72147a3f9d71eede398cd1f0706d151e03f3e98b9bfc40190799bf23dbdf76bdc9f0492ea20e023a6027432dba9715c14383b286ebfb508240635cd1c4e0273fd983cbaa47f8b6a8554cda97a639e81093d729bebbf3c417a820aebd9,754f5d5c56b95bdbe434c628ce313f691aee6d14de471fbc646aecf0e71569f214032f5256c3c973a4a769762b3d8f1e02dc0498bcd87420f33195299e7799d9d6a6883a14521eb7f3b0c8b77436f4bbbc81421f6ad1ef7990609407a613d3e9
modp2,true,ffffffffffffffffc90fdaa22168c234c4c6628b80dc1cd129024e088a67cc74020bbea63b139b22514a08798e3404ddef9519b3cd3a431b302b0a6df25f14374fe1356d6d51c245e485b576625e7ec6f44c42e9a637ed6b0bff5cb6f406b7edee386bfb5a899fa5ae9f24117c4b1fe649286651ece65381ffffffffffffffff,8,Bob,87b96aae91ffe556163853a6b5cdea21bf21d1ef551cb3d4b84186988151793d673ce1a15e9c80bd717e628b19605b5bec3509f8b10260cc5d6029d7cedfacad99391a61589d4c51dcc0edf12b19587cc5dec92050a5833fecb2db441b6e3d69e73e73c6803ad05beeb0b1da7cb1d8162095a2c54973f310f8ffb6d8b4822d5e,8c5304e9b3945ee7b4f3e738b569190b1886e69cad5f8846f573967dc4fe971c2dc16416d1583dfbd150c134d0ab9d609f90d7579cfa274c7b879a44929d171e4934b114e6b313130b4bf5d8859c4868a55a99694f39733f78731d90ecf74058f59d53835ed475e336ac8661abc356ff38eb4f1b98d2a5995c07d05ad66e7176,e3d6ae95a28dc4d99aade28533683306b233605b563246b5ab6790fedc0ccec69ee8683f0f721951b2cf799a7f60fd74c8b94973f7974f5a6ab9af5b7347f77e4ff820e15ec0a9bd7aa550f5879ea496a3668b084b94ec1f567f7e3f3310d48382f311a63a1e566610ddd9f70cf54eddaf68495e5d01df9feecf339a5ca1d399
